State,City,Turnout,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
California,Avalon,44,33.34281,-118.32785,1,place,,,,,Avalon,CA,"Los Angeles County",90704,US,"TIGER/Line® dataset from the US Census Bureau"
California,Berkeley,600,37.860576,-122.29673,1,place,,,,,Berkeley,CA,"Alameda County",94701,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Beverly Hills",275,33.786594,-118.298662,1,place,,,,,"Beverly Hills",CA,"Los Angeles County",90209,US,"TIGER/Line® dataset from the US Census Bureau"
California,Bishop,580,37.491769,-118.389367,1,place,,,,,Bishop,CA,"Inyo County",93514,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Borrego Springs",145,33.23943,-116.35607,1,place,,,,,"Borrego Springs",CA,"San Diego County",92004,US,"TIGER/Line® dataset from the US Census Bureau"
California,Burbank,300,34.200993,-118.292773,1,place,,,,,Burbank,CA,"Los Angeles County",91501,US,"TIGER/Line® dataset from the US Census Bureau"
California,Chico,300,39.746159,-121.840083,1,place,,,,,Chico,CA,"Butte County",95926,US,"TIGER/Line® dataset from the US Census Bureau"
California,Compton,0,33.874815,-118.240208,1,place,,,,,Compton,CA,"Los Angeles County",90220,US,"TIGER/Line® dataset from the US Census Bureau"
California,"El Centro",100,32.770275,-115.598602,1,place,,,,,"El Centro",CA,"Imperial County",92243,US,"TIGER/Line® dataset from the US Census Bureau"
California,Encinitas,50,33.016928,-116.846046,1,place,,,,,Encinitas,CA,"San Diego County",92023,US,"TIGER/Line® dataset from the US Census Bureau"
California,Eureka,6500,40.798802,-124.15192,1,place,,,,,Eureka,CA,"Humboldt County",95501,US,"TIGER/Line® dataset from the US Census Bureau"
California,Fairfax,42,37.981723,-122.607791,1,place,,,,,Fairfax,CA,"Marin County",94930,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Fort Bragg",2650,39.4,-123.81667,1,place,,,,,"Fort Bragg",CA,"Mendocino County",95437,US,"TIGER/Line® dataset from the US Census Bureau"
California,Fresno,2000,36.8411,-119.801015,1,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
California,Gualala,300,38.836933,-123.527323,1,place,,,,,Gualala,CA,"Mendocino County",95445,US,"TIGER/Line® dataset from the US Census Bureau"
California,Hemet,100,33.667301,-116.963506,1,place,,,,,Hemet,CA,"Riverside County",92543,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Kings Beach",650,39.24886,-120.0202,1,place,,,,,"Kings Beach",CA,"Placer County",96143,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Laguna Beach",250,33.520941,-117.741315,1,place,,,,,"Laguna Beach",CA,"Orange County",92651,US,"TIGER/Line® dataset from the US Census Bureau"
California,Laytonville,0,39.6723,-123.49375,1,place,,,,,Laytonville,CA,"Mendocino County",95454,US,"TIGER/Line® dataset from the US Census Bureau"
California,Lompoc,300,34.629464,-120.336594,1,place,,,,,Lompoc,CA,"Santa Barbara County",93436,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Long Beach",200,33.804309,-118.200957,1,place,,,,,"Long Beach",CA,"Los Angeles County",90801,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Los Angeles",750000,33.973951,-118.248405,1,place,,,,,"Los Angeles",CA,"Los Angeles County",90001,US,"TIGER/Line® dataset from the US Census Bureau"
California,Modesto,1000,37.669463,-121.016796,1,place,,,,,Modesto,CA,"Stanislaus County",95350,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Monterey Bay",1500,36.57485,-121.840727,1,place,,,,,Monterey,CA,"Monterey County",93940,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Mt. Shasta",400,41.31583,-122.31611,1,place,,,,,"Mount Shasta",CA,"Siskiyou County",96067,US,"TIGER/Line® dataset from the US Census Bureau"
California,Napa,3000,38.442011,-122.23832,1,place,,,,,Napa,CA,"Napa County",94558,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Nevada City",100,39.299606,-120.887965,1,place,,,,,"Nevada City",CA,"Nevada County",95959,US,"TIGER/Line® dataset from the US Census Bureau"
California,Oakhurst,200,37.37586,-119.65238,1,place,,,,,Oakhurst,CA,"Madera County",93644,US,"TIGER/Line® dataset from the US Census Bureau"
California,Oakland,100000,37.786027,-122.223779,1,place,,,,,Oakland,CA,"Alameda County",94601,US,"TIGER/Line® dataset from the US Census Bureau"
California,Ontario,200,34.05936,-117.6203,1,place,,,,,Ontario,CA,"San Bernardino County",91758,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Palm Desert",1000,33.76437,-116.339766,1,place,,,,,"Palm Desert",CA,"Riverside County",92211,US,"TIGER/Line® dataset from the US Census Bureau"
California,Palmdale,24,34.408383,-118.123597,1,place,,,,,Palmdale,CA,"Los Angeles County",93550,US,"TIGER/Line® dataset from the US Census Bureau"
California,Pasadena,500,33.786594,-118.298662,1,place,,,,,Pasadena,CA,"Los Angeles County",91050,US,"TIGER/Line® dataset from the US Census Bureau"
California,Redding,300,40.600342,-122.455016,1,place,,,,,Redding,CA,"Shasta County",96001,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Redondo Beach",1800,33.830006,-118.387124,1,place,,,,,"Redondo Beach",CA,"Los Angeles County",90277,US,"TIGER/Line® dataset from the US Census Bureau"
California,"Redwood City",5000,37.381144,-122.334825,1,place,,,,,"Redwood City",CA,"San Mateo County",94059,US,"TIGER/Line® dataset from the US Census Bureau"
California,Ridgecrest,190,35.606509,-117.683472,1,place,,,,,Ridgecrest,CA,"Kern County",93555,US,"TIGER/Line® dataset from the US Census Bureau"
California,Riverside,4000,33.99504,-117.373184,1,place,,,,,Riverside,CA,"Riverside County",92501,US,"TIGER/Line® dataset from the US Census Bureau"
California,Sacramento,20000,38.380456,-121.555406,1,place,,,,,Sacramento,CA,"Sacramento County",94203,US,"TIGER/Line® dataset from the US Census Bureau"
California,"San Bernardino",80,34.104794,-117.29215,1,place,,,,,"San Bernardino",CA,"San Bernardino County",92401,US,"TIGER/Line® dataset from the US Census Bureau"
California,"San Clemente",300,33.42362,-117.606843,1,place,,,,,"San Clemente",CA,"Orange County",92672,US,"TIGER/Line® dataset from the US Census Bureau"
